ticket_id,feedback_id,category,confidence,title,description,priority,severity,technical_details,feature_details,suggested_actions,quality_score,quality_notes,quality_status,revision_count,created_at,updated_at
TKT-20260325-030,86,Bug,0.99,[Bug] All projects and tasks missing after opening app in Chrome,"Summary
User reports that after opening TaskPro in Chrome on a MacBook Pro M3, all projects and tasks appear to be missing from the account. This is a critical potential data-loss or sync/display failure affecting an enterprise-plan customer with over 50 active projects and hundreds of tasks.

Steps to Reproduce
1. Log in to the affected TaskPro account on a MacBook Pro M3 using Chrome browser.
2. Open the app dashboard or projects view.
3. Observe the projects and tasks list immediately after app load.

Expected Behavior
All previously created projects and their associated tasks should remain visible and accessible after opening the app.

Actual Behavior
All projects appear to be missing, including over 50 active projects and hundreds of tasks, indicating possible data loss or a severe sync/display failure.

Environment
- Source: support_email / E005
- Plan: Enterprise
- Device: MacBook Pro M3
- Browser: Chrome
- OS: Unknown
- App Version: Unknown
- Affected Component: Projects/Tasks",Critical,Critical,"{""affected_component"":""Projects/Tasks"",""platform_details"":{""device"":""MacBook Pro M3"",""os"":""Unknown"",""app_version"":""Unknown"",""browser"":""Chrome""},""plan"":""Enterprise"",""impact"":{""missing_projects"":""50+ active projects"",""missing_tasks"":""Hundreds of tasks""}}",,"[""Immediately investigate backend data integrity, account-level project and task records, and any recent sync or deletion events for the affected enterprise account."",""Check for web app regressions specific to Chrome on MacBook Pro M3 and determine whether this is a display/sync issue versus permanent data loss."",""Preserve relevant logs, contact the customer promptly, and attempt account data restoration from backups if records were deleted or corrupted.""]",8.0,"Strong ticket with a clear bug title, good impact summary, and sufficient environment/context to begin investigation. To improve further, clarify that repro is based on a single user report rather than confirmed internal reproduction, and avoid assuming data loss versus a visibility/sync issue without additional evidence.",approved,0,2026-03-25 05:38:16,2026-03-25 05:38:20
TKT-20260325-029,85,Feature Request,0.99,[Feature Request] Add task dependencies for project workflows,"Summary
The user is requesting task dependency support so one task can be blocked until another is completed. This would improve TaskPro for project management workflows that require tasks to be completed in sequence.

User Need
Users managing multi-step projects need a way to define dependencies between tasks, such as preventing Task B from starting until Task A is complete. Without this capability, users must track sequencing manually, which makes project coordination harder and increases the risk of work starting out of order.

Proposed Solution
Add task dependency management that allows users to link tasks with prerequisite relationships. An initial implementation could support basic finish-to-start dependencies, visually indicate blocked tasks, and prevent dependent tasks from being marked as in progress until prerequisite tasks are completed.

Impact Assessment
This request has high user impact because it supports a more advanced project management use case and helps users organize task sequences with less manual oversight. Demand signal appears strong from the explicit workflow example provided, and the feature could expand TaskPro’s usefulness for teams and individuals managing structured projects.",High,,,"{""feature_name"":""Task Dependency Management"",""description"":""The user wants the ability to create dependencies between tasks so one task cannot start until another is completed. This would improve project management workflows by helping users organize task sequences and enforce execution order."",""user_impact"":""High"",""demand_signal"":""Strong"",""existing_alternatives"":""No workaround mentioned."",""source"":""support_email / E004""}","[""Validate demand by reviewing similar project-management feature requests and customer segments"",""Define dependency types and UX flows, such as blocking tasks until prerequisite completion"",""Assess implementation scope across task model, scheduling logic, and mobile UI""]",8.0,"Strong feature ticket with a clear title, solid user need, and a plausible proposed solution that aligns well with the original feedback. Priority appears somewhat overstated versus the source feedback’s low priority hint and single-user signal, but the ticket is otherwise actionable and backlog-ready.",approved,0,2026-03-25 05:37:56,2026-03-25 05:38:00
TKT-20260325-028,84,Bug,0.98,[Bug] Login fails with 'Authentication failed' after update 3.2.1,"Summary
User reports being unable to log into TaskPro after updating to version 3.2.1. The app shows an 'Authentication failed' error even when correct credentials are entered, indicating a likely regression in the login flow.

Steps to Reproduce
1. Open TaskPro on a Samsung Galaxy S24 Ultra running Android 14.
2. Ensure the app is updated to version 3.2.1.
3. Navigate to the login screen.
4. Enter valid account credentials.
5. Tap the login button.
6. Observe the authentication result on either WiFi or mobile data.

Expected Behavior
User should be able to log into the account successfully when entering correct credentials.

Actual Behavior
The app displays an 'Authentication failed' error and prevents login even when correct credentials are entered.

Environment
- Device: Samsung Galaxy S24 Ultra
- OS: Android 14
- App Version: 3.2.1
- Network Conditions: WiFi and mobile data
- Affected Component: Login
- Source: support_email / E003",High,Major,"{""affected_component"":""Login"",""platform"":""Android"",""platform_details"":{""device"":""Samsung Galaxy S24 Ultra"",""os"":""Android 14"",""app_version"":""3.2.1""},""error_message"":""Authentication failed"",""regression_since"":""3.2.1 update"",""network_conditions"":[""WiFi"",""mobile data""]}",,"[""Reproduce the issue on Android 14 with app version 3.2.1 using valid test accounts."",""Review recent authentication and login-related changes introduced in version 3.2.1."",""Check backend auth logs and client error handling to identify whether the failure is app-side or server-side.""]",10.0,"Ticket accurately reflects the original feedback with a clear bug title, solid reproduction steps, environment details, and reasonable technical framing for a likely regression after 3.2.1. Priority is appropriate for a login-blocking issue, and the ticket is actionable for engineering without further clarification.",approved,0,2026-03-25 05:37:37,2026-03-25 05:37:41
TKT-20260325-027,83,Feature Request,0.99,[Feature Request] Add dark mode theme for reduced eye strain,"Summary
The user is requesting a dark mode theme for TaskPro to reduce eye strain during late-night use. They note that the current bright white interface is uncomfortable and that competing apps already offer this capability.

User Need
Users who work in low-light or nighttime settings need a darker interface option that is more comfortable to view for extended periods. This request reflects both a usability need and a competitive expectation, since similar apps already provide dark mode.

Proposed Solution
Add a dark mode theme option for the app interface, ideally with support for both a manual toggle and optional system theme matching. Review the existing theme architecture, validate accessible dark color palettes across key screens, and consolidate similar dark mode requests to assess overall demand.

Impact Assessment
This feature appears to have high user impact because it addresses eye strain, improves comfort for nighttime usage, and helps TaskPro meet common market expectations. Demand signal is strong based on the explicit request and competitor comparison, making this a strong candidate for roadmap prioritization.",High,,,"{""feature_name"":""Dark Mode Theme"",""description"":""The user wants a dark mode option for the app interface to reduce eye strain during late-night use. They note that the current bright white UI is uncomfortable and that competing apps already provide this feature, suggesting it is an expected usability enhancement."",""user_impact"":""High"",""demand_signal"":""Strong"",""existing_alternatives"":""No in-app workaround mentioned; user compares TaskPro to competing apps that already offer dark mode."",""source"":""support_email / E002""}","[""Review existing theme architecture to assess effort for implementing a dark mode option"",""Search and link any existing dark mode feature requests to consolidate demand"",""Design and validate dark color palettes for key screens and accessibility compliance""]",8.0,"Well-structured feature ticket with a clear title, strong user-need summary, and actionable proposed solution aligned to the original feedback. Priority appears slightly overstated versus the source’s medium hint, but overall the ticket is complete and ready for backlog review.",approved,0,2026-03-25 05:37:17,2026-03-25 05:37:21
TKT-20260325-026,82,Bug,0.99,[Bug] App crashes on launch on iPad Air 5th gen,"Summary
The user reports that TaskPro crashes immediately on launch on an iPad Air (5th gen) running iPadOS 17.3. Reinstalling app version 3.2.1 does not resolve the issue, and the app is unusable for a work-dependent user.

Steps to Reproduce
1. Install or update TaskPro to version 3.2.1 on an iPad Air (5th gen) running iPadOS 17.3.
2. Tap the TaskPro app icon to launch the app.
3. Observe that the app crashes immediately on startup.
4. Reinstall the app and launch it again.
5. Observe that the crash still occurs.

Expected Behavior
The app should open normally and allow the user to access TaskPro features.

Actual Behavior
The app crashes immediately on launch, preventing any use of the app even after reinstalling.

Environment
- Device: iPad Air (5th gen)
- OS: iPadOS 17.3
- App Version: 3.2.1
- Source: support_email / E001",Critical,Critical,"{""affected_component"":""Performance"",""platform_details"":{""device"":""iPad Air (5th gen)"",""os"":""iPadOS 17.3"",""app_version"":""3.2.1""}}",,"[""Attempt to reproduce the launch crash on an iPad Air (5th gen) with iPadOS 17.3 using app version 3.2.1."",""Review crash logs and startup telemetry for version 3.2.1 to identify the launch failure root cause."",""Escalate to the iOS engineering team and prepare a hotfix if the issue is confirmed.""]",9.0,"Strong bug ticket with a clear, correctly prefixed title and a complete description including repro steps, expected/actual behavior, environment, and impact that aligns well with the original feedback. Priority is slightly overstated versus the source feedback and the affected component may be too generic, but the ticket is accurate and actionable overall.",approved,0,2026-03-25 05:36:57,2026-03-25 05:37:01
TKT-20260325-025,81,Bug,0.98,[Bug] Search returns no results for existing tasks,"Summary
The user reports that TaskPro's search function does not return results for task names that are known to exist. The issue was observed on a Pixel 8 running Android 14 with app version 3.2.1.

Steps to Reproduce
1. Open TaskPro on a Pixel 8 running Android 14.
2. Navigate to the task list containing existing tasks.
3. Tap the search function.
4. Enter the name of an existing task.
5. Observe the search results.

Expected Behavior
Searching for an existing task name should return matching tasks in the results.

Actual Behavior
Search returns no results even when matching tasks already exist.

Environment
- Device: Pixel 8
- OS: Android 14
- App Version: 3.2.1
- Source: Google Play / app_store_review (R025)
- User Rating: 2/5",High,Major,"{""affected_component"":""Search"",""platform_details"":{""device"":""Pixel 8"",""os"":""Android 14"",""app_version"":""3.2.1""}}",,"[""Reproduce the issue on Pixel 8 with Android 14 using app version 3.2.1 and verify whether task indexing or query matching is failing."",""Review recent changes to search logic, filters, and task data synchronization that could cause existing tasks to be omitted from results."",""Add diagnostic logging and test coverage for task-name search on Android devices, especially Android 14.""]",10.0,"Well-written bug ticket that accurately reflects the original feedback and includes clear reproduction steps, expected vs. actual behavior, and environment details. Priority and technical framing are appropriate, so the ticket is ready for backlog intake.",approved,0,2026-03-25 05:35:49,2026-03-25 05:35:53
TKT-20260325-024,80,Feature Request,0.99,[Feature Request] Add built-in Pomodoro timer to task view,"Summary
The user is requesting a built-in Pomodoro timer within the task view to support focused work sessions without leaving TaskPro. This would make it easier to use time-boxed productivity techniques directly alongside task execution.

User Need
The user wants an integrated focus timer so they can stay in the task view while working through Pomodoro-style sessions. No workaround was mentioned, suggesting a gap in support for users who rely on structured focus intervals.

Proposed Solution
Add a Pomodoro timer directly to the task view, with an MVP focused on core timer controls such as start, pause, reset, and configurable work/break intervals. The implementation should consider in-app visibility, notifications for session transitions, and whether session progress should be associated with the active task.

Impact Assessment
This request appears to have medium user impact with a strong demand signal based on the feedback provided. A built-in Pomodoro timer could improve TaskPro’s usefulness for focus-oriented workflows and reduce the need for users to switch to separate timer apps during work sessions.",Medium,,,"{""feature_name"":""Built-in Pomodoro Timer"",""description"":""The user wants a Pomodoro timer integrated directly into the task view to support focused work sessions without leaving the app. This would improve concentration workflows and make TaskPro more useful for time-boxed productivity techniques."",""user_impact"":""Medium"",""demand_signal"":""Strong"",""existing_alternatives"":""No workaround mentioned."",""platform"":""App Store"",""source"":""app_store_review""}","[""Validate demand by checking for similar timer or focus-mode feature requests"",""Explore UX concepts for embedding a Pomodoro timer within the task view"",""Assess implementation scope for timer controls, notifications, and session tracking""]",8.0,"Strong feature ticket with a clear, correctly prefixed title and a well-structured description covering user need, proposed solution, and impact. Minor deduction because some proposed details (configurable intervals, notifications, task association) go beyond the original feedback and should be framed more explicitly as assumptions or follow-up discovery points.",approved,0,2026-03-25 05:35:31,2026-03-25 05:35:35
TKT-20260325-023,79,Spam,0.99,[Spam] Nonsensical gibberish app store review,"Summary
The submitted feedback contains random, nonsensical text and does not describe any identifiable issue, request, or experience related to TaskPro.

Reason for Classification
The content appears to be gibberish/spam (""asdkjfh aksdjfh random text 12345 test test test"") and provides no actionable information for product, support, or engineering teams.",Low,,,,"[""Mark as spam and exclude from product analysis"",""No follow-up required unless repeated from same source""]",10.0,"The ticket accurately reflects the original feedback as spam, with a clear title, sufficient rationale, and an appropriate low priority. It is technically consistent and fully actionable for triage, since the recommended next steps are explicit.",approved,0,2026-03-25 05:35:09,2026-03-25 05:35:14
TKT-20260325-022,78,Bug,0.95,[Bug] Excessive battery drain from background processes,"Summary
User reports that TaskPro consumes approximately 30% of device battery per day. The issue appears related to excessive background activity in iOS app version 3.2.1.

Steps to Reproduce
1. Install and open TaskPro version 3.2.1 from the App Store.
2. Use the app normally and leave it running or enabled in the background during the day.
3. Monitor device battery usage in system battery settings.
4. Observe TaskPro consuming a disproportionately high amount of battery, reportedly around 30% daily.

Expected Behavior
TaskPro should use battery efficiently, with minimal background activity and reasonable daily battery consumption.

Actual Behavior
TaskPro reportedly consumes about 30% of the device battery per day, suggesting excessive background processing.

Environment
- Platform: iOS (App Store)
- App Version: 3.2.1
- Device: Unknown
- OS: Unknown
- Source: app_store_review / R022",High,Major,"{""affected_component"":""Performance"",""platform"":""iOS"",""platform_details"":{""device"":""Unknown"",""os"":""Unknown"",""app_version"":""3.2.1""}}",,"[""Investigate background tasks, sync jobs, and notification-related processes for excessive wakeups or long-running activity."",""Profile battery usage on iOS devices running app version 3.2.1 to identify high-consumption code paths."",""Add logging or diagnostics for background execution and compare against expected battery usage baselines.""]",8.0,"Strong bug ticket with a clear title, solid structure, and reasonable technical framing that aligns well with the original feedback. To make it fully engineer-ready, add device model, iOS version, and any reproducibility details or battery diagnostics to better validate severity and narrow investigation scope.",approved,0,2026-03-25 05:34:55,2026-03-25 05:34:59
TKT-20260325-021,77,Praise,0.99,[Praise] User prefers TaskPro subtask feature over Todoist,"Summary
User shared highly positive feedback after switching from Todoist, stating they have no regrets and specifically praising TaskPro's subtask functionality.

Key Positive Points
- User switched from a competitor (Todoist) and reports stronger satisfaction with TaskPro.
- Subtask feature is described as significantly better.
- Overall sentiment is very positive and reinforced by a 5-star rating.

Areas Highlighted
- Subtask usability and feature quality
- Competitive differentiation versus Todoist
- Strong user retention/switching appeal

Environment
- Source: app_store_review / R021
- Platform: Google Play
- Rating: 5/5",Low,,,,"[""Share with product and marketing teams as competitive validation for subtasks"",""Tag as positive feedback related to subtask experience"",""Consider using anonymized insight in customer messaging or testimonials if policy allows""]",10.0,"Strong ticket for a praise item: the title is specific and correctly prefixed, and the description accurately captures the original feedback, context, platform, and rating. Priority is appropriate for positive feedback, and the suggested actions make the ticket immediately useful for product/marketing review.",approved,0,2026-03-25 05:34:36,2026-03-25 05:34:40
